Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
43,11,5,65,4,Some Random Commen with Id 43
44,11,5,130,7,Some Random Commen with Id 44
45,11,5,86,4,Some Random Commen with Id 45
46,11,5,99,7,Some Random Commen with Id 46
47,11,5,100,8,Some Random Commen with Id 47
48,12,4,54,7,Some Random Commen with Id 48
49,12,4,193,5,Some Random Commen with Id 49
50,12,4,73,2,Some Random Commen with Id 50
51,12,4,31,0,Some Random Commen with Id 51
52,12,4,133,8,Some Random Commen with Id 52
53,12,4,199,2,Some Random Commen with Id 53
54,12,4,65,0,Some Random Commen with Id 54
55,12,4,175,3,Some Random Commen with Id 55
56,12,4,34,8,Some Random Commen with Id 56
57,13,2,159,3,Some Random Commen with Id 57
58,14,4,60,0,Some Random Commen with Id 58
59,14,4,128,2,Some Random Commen with Id 59
60,14,4,57,0,Some Random Commen with Id 60
61,15,0,95,1,Some Random Commen with Id 61
62,15,0,103,5,Some Random Commen with Id 62
63,15,0,22,9,Some Random Commen with Id 63
64,15,0,61,1,Some Random Commen with Id 64
65,15,0,134,7,Some Random Commen with Id 65
66,15,0,148,8,Some Random Commen with Id 66
67,16,4,55,7,Some Random Commen with Id 67
68,16,4,31,3,Some Random Commen with Id 68
69,16,4,176,0,Some Random Commen with Id 69
70,16,4,161,3,Some Random Commen with Id 70
71,16,4,19,8,Some Random Commen with Id 71
72,16,4,116,8,Some Random Commen with Id 72
73,16,4,66,5,Some Random Commen with Id 73
74,16,4,159,2,Some Random Commen with Id 74
75,19,5,9,5,Some Random Commen with Id 75
76,19,5,38,4,Some Random Commen with Id 76
77,19,5,98,0,Some Random Commen with Id 77
78,19,5,47,2,Some Random Commen with Id 78
79,19,5,193,3,Some Random Commen with Id 79
80,21,8,182,4,Some Random Commen with Id 80
81,21,8,57,6,Some Random Commen with Id 81
82,22,7,89,3,Some Random Commen with Id 82
83,23,5,144,2,Some Random Commen with Id 83
84,23,5,93,9,Some Random Commen with Id 84
85,23,5,72,1,Some Random Commen with Id 85
86,23,5,192,7,Some Random Commen with Id 86
87,23,5,36,8,Some Random Commen with Id 87
88,24,4,61,1,Some Random Commen with Id 88
89,24,4,51,3,Some Random Commen with Id 89
90,24,4,112,7,Some Random Commen with Id 90
91,25,3,32,7,Some Random Commen with Id 91
92,25,3,179,5,Some Random Commen with Id 92
93,25,3,181,2,Some Random Commen with Id 93
94,25,3,168,7,Some Random Commen with Id 94
95,25,3,144,5,Some Random Commen with Id 95
96,25,3,167,8,Some Random Commen with Id 96
97,25,3,137,8,Some Random Commen with Id 97
98,25,3,130,2,Some Random Commen with Id 98
99,25,3,112,6,Some Random Commen with Id 99
100,26,4,189,2,Some Random Commen with Id 100
101,28,4,45,8,Some Random Commen with Id 101
102,28,4,16,3,Some Random Commen with Id 102
103,28,4,8,6,Some Random Commen with Id 103
104,28,4,3,5,Some Random Commen with Id 104
105,28,4,58,4,Some Random Commen with Id 105
106,28,4,87,8,Some Random Commen with Id 106
107,28,4,193,6,Some Random Commen with Id 107
108,28,4,180,4,Some Random Commen with Id 108
109,29,0,159,3,Some Random Commen with Id 109
110,29,0,82,3,Some Random Commen with Id 110
111,29,0,171,5,Some Random Commen with Id 111
112,29,0,100,1,Some Random Commen with Id 112
113,29,0,102,2,Some Random Commen with Id 113
114,30,4,91,3,Some Random Commen with Id 114
115,30,4,25,4,Some Random Commen with Id 115
116,30,4,87,0,Some Random Commen with Id 116
117,30,4,16,8,Some Random Commen with Id 117
118,31,8,152,1,Some Random Commen with Id 118
119,31,8,36,3,Some Random Commen with Id 119
120,31,8,154,9,Some Random Commen with Id 120
121,31,8,74,1,Some Random Commen with Id 121
122,31,8,92,6,Some Random Commen with Id 122
123,32,8,160,3,Some Random Commen with Id 123
124,32,8,164,8,Some Random Commen with Id 124
125,33,9,52,7,Some Random Commen with Id 125
126,33,9,50,7,Some Random Commen with Id 126
127,33,9,4,0,Some Random Commen with Id 127
128,33,9,90,2,Some Random Commen with Id 128
129,33,9,95,4,Some Random Commen with Id 129
130,33,9,17,7,Some Random Commen with Id 130
131,33,9,138,1,Some Random Commen with Id 131
132,34,7,152,2,Some Random Commen with Id 132
133,34,7,161,2,Some Random Commen with Id 133
134,34,7,93,7,Some Random Commen with Id 134
135,34,7,43,5,Some Random Commen with Id 135
136,34,7,157,7,Some Random Commen with Id 136
137,35,8,199,2,Some Random Commen with Id 137
138,35,8,99,2,Some Random Commen with Id 138
139,36,5,191,2,Some Random Commen with Id 139
140,36,5,165,8,Some Random Commen with Id 140
141,36,5,173,9,Some Random Commen with Id 141
142,36,5,158,5,Some Random Commen with Id 142
143,36,5,190,3,Some Random Commen with Id 143
144,36,5,142,6,Some Random Commen with Id 144
145,36,5,137,0,Some Random Commen with Id 145
146,36,5,176,6,Some Random Commen with Id 146
147,36,5,121,7,Some Random Commen with Id 147
148,37,9,134,7,Some Random Commen with Id 148
149,37,9,54,2,Some Random Commen with Id 149
150,37,9,23,6,Some Random Commen with Id 150
151,37,9,9,9,Some Random Commen with Id 151
152,37,9,57,0,Some Random Commen with Id 152
153,37,9,151,6,Some Random Commen with Id 153
154,38,9,10,5,Some Random Commen with Id 154
155,39,2,110,8,Some Random Commen with Id 155
156,39,2,123,4,Some Random Commen with Id 156
157,39,2,42,5,Some Random Commen with Id 157
158,39,2,67,0,Some Random Commen with Id 158
159,39,2,53,0,Some Random Commen with Id 159
160,39,2,86,3,Some Random Commen with Id 160
